AssociatedGeneName EnsemblGeneID h2.Thyroid se.Thyroid ensid
JUP ENSG00000173801.12 0.046305 0.05811 ENSG00000173801
MDGA1 ENSG00000112139.9 0.083237 0.060674 ENSG00000112139
GSTT1 ENSG00000184674.8 0.50492 0.079903 ENSG00000184674
ADARB2 ENSG00000185736.11 0.212786 0.08856 ENSG00000185736
TMEM176B ENSG00000106565.13 0.193583 0.086927 ENSG00000106565
SLC12A1 ENSG00000074803.13 0.050905 0.05414 ENSG00000074803
AFAP1 ENSG00000196526.6 0.057328 0.078466 ENSG00000196526
TMEM176A ENSG00000002933.3 0.189187 0.086807 ENSG00000002933
CNR1 ENSG00000118432.11 0.028456 0.041833 ENSG00000118432
APOBEC3B ENSG00000179750.11 0.036656 0.04796 ENSG00000179750
AOC1 ENSG00000002726.15 0.026259 0.046609 ENSG00000002726
PEX11G ENSG00000104883.3 0.116665 0.083493 ENSG00000104883
FAM118A ENSG00000100376.7 0.621114 0.075399 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.070557 0.066334 ENSG00000106772
LRRC6 ENSG00000129295.4 0.110842 0.065771 ENSG00000129295
PILRA ENSG00000085514.10 0.393351 0.073733 ENSG00000085514
RPS28 ENSG00000233927.4 0.040112 0.055822 ENSG00000233927
TREML4 ENSG00000188056.7 0.060619 0.062125 ENSG00000188056
PAM ENSG00000145730.16 0.055001 0.044214 ENSG00000145730
RNPEP ENSG00000176393.6 0.024318 0.048317 ENSG00000176393
SORCS2 ENSG00000184985.12 0.110658 0.075748 ENSG00000184985
VPS53 ENSG00000141252.15 0.191848 0.078714 ENSG00000141252
KIAA1324 ENSG00000116299.12 0.013106 0.042534 ENSG00000116299
ZP3 ENSG00000188372.10 0.150057 0.073628 ENSG00000188372
POLR2J3 ENSG00000168255.13 0.026329 0.040093 ENSG00000168255
RPL9 ENSG00000163682.11 0.236687 0.080471 ENSG00000163682
ST20 ENSG00000180953.7 0.062751 0.058309 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.457432 0.078442 ENSG00000142856
CPA5 ENSG00000158525.11 0.03985 0.046435 ENSG00000158525
NDST1 ENSG00000070614.10 0.035114 0.052377 ENSG00000070614
ACCS ENSG00000110455.9 0.104938 0.073527 ENSG00000110455
GSTT2 ENSG00000099984.6 0.063378 0.05912 ENSG00000099984
UBE2U ENSG00000177414.8 0.176292 0.074413 ENSG00000177414
NAV1 ENSG00000134369.11 0.066237 0.064284 ENSG00000134369
GSTT2B ENSG00000133433.6 0.069642 0.062723 ENSG00000133433
A4GALT ENSG00000128274.11 0.147308 0.076648 ENSG00000128274
CCDC135 ENSG00000159625.10 0.032896 0.058544 ENSG00000159625
MYEF2 ENSG00000104177.13 0.026545 0.040554 ENSG00000104177
MCOLN2 ENSG00000153898.8 0.210241 0.077793 ENSG00000153898
SPATA20 ENSG00000006282.15 0.401397 0.087296 ENSG00000006282
OPRL1 ENSG00000125510.11 0.058312 0.055889 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.237931 0.080519 ENSG00000112053
C8orf31 ENSG00000177335.6 0.092985 0.069701 ENSG00000177335
LEPROT ENSG00000213625.4 0.053086 0.051392 ENSG00000213625
DCBLD1 ENSG00000164465.14 0.142794 0.06489 ENSG00000164465
CDKN3 ENSG00000100526.15 0.056665 0.054973 ENSG00000100526
CARKD ENSG00000213995.7 0.091547 0.079244 ENSG00000213995
KRT38 ENSG00000171360.3 0.030925 0.046592 ENSG00000171360
RDH13 ENSG00000160439.10 0.021013 0.059345 ENSG00000160439
AGAP7 ENSG00000204169.6 0.010981 0.027949 ENSG00000204169
APOBEC3G ENSG00000239713.3 0.132868 0.069447 ENSG00000239713
GSTM4 ENSG00000168765.11 0.069862 0.06498 ENSG00000168765
HOXB2 ENSG00000173917.9 0.065018 0.05423 ENSG00000173917
NUDT7 ENSG00000140876.7 0.071752 0.063824 ENSG00000140876
LRRC61 ENSG00000127399.10 0.015832 0.047022 ENSG00000127399
SMTNL1 ENSG00000214872.4 0.010156 0.033671 ENSG00000214872
RFWD3 ENSG00000168411.9 0.040241 0.053933 ENSG00000168411
TFIP11 ENSG00000100109.12 0.087068 0.076486 ENSG00000100109
C10orf128 ENSG00000204161.9 0.059146 0.056098 ENSG00000204161
TMEM9 ENSG00000116857.11 0.082123 0.075145 ENSG00000116857
CCDC15 ENSG00000149548.10 0.017174 0.042297 ENSG00000149548
NT5C3B ENSG00000141698.12 0.451535 0.074314 ENSG00000141698
KNSTRN ENSG00000128944.8 0.052465 0.049147 ENSG00000128944
FCGR2B ENSG00000072694.14 0.072236 0.061854 ENSG00000072694
MYCBPAP ENSG00000136449.9 0.075604 0.070581 ENSG00000136449
CTSW ENSG00000172543.3 0.097235 0.058716 ENSG00000172543
GCAT ENSG00000100116.12 0.129959 0.078049 ENSG00000100116
NT5E ENSG00000135318.7 0.27744 0.077458 ENSG00000135318
CES1 ENSG00000198848.8 0.162863 0.087358 ENSG00000198848
HPR ENSG00000261701.2 0.114635 0.05733 ENSG00000261701
CNTNAP2 ENSG00000174469.13 0.071691 0.062934 ENSG00000174469
CCDC94 ENSG00000105248.11 0.017989 0.061472 ENSG00000105248
CTB-133G6.1 ENSG00000263264.1 0.011223 0.057498 ENSG00000263264
EHMT1 ENSG00000181090.13 0.050707 0.04507 ENSG00000181090
GRHPR ENSG00000137106.13 0.121368 0.076771 ENSG00000137106
KIF16B ENSG00000089177.13 0.169706 0.078898 ENSG00000089177
BAMBI ENSG00000095739.7 0.084698 0.072406 ENSG00000095739
KIAA1715 ENSG00000144320.9 0.04812 0.05239 ENSG00000144320
DNAAF1 ENSG00000154099.13 0.046003 0.071419 ENSG00000154099
QRSL1 ENSG00000130348.7 0.206271 0.076521 ENSG00000130348
PLA2G4C ENSG00000105499.9 0.147357 0.068281 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.238566 0.073876 ENSG00000100197
DHFR ENSG00000228716.2 0.143862 0.072957 ENSG00000228716
SLC1A7 ENSG00000162383.7 0.056537 0.049847 ENSG00000162383
CNGA1 ENSG00000198515.9 0.144028 0.060102 ENSG00000198515
G6PC2 ENSG00000152254.6 0.064444 0.060514 ENSG00000152254
NUPR1 ENSG00000176046.7 0.017995 0.031378 ENSG00000176046
APIP ENSG00000149089.8 0.445115 0.079598 ENSG00000149089
SAMD12 ENSG00000177570.9 0.286214 0.0877 ENSG00000177570
LRRC37A2 ENSG00000238083.3 0.083904 0.055078 ENSG00000238083
ZNF641 ENSG00000167528.8 0.094858 0.053409 ENSG00000167528
PRSS46 ENSG00000261603.1 0.105182 0.058552 ENSG00000261603
