AssociatedGeneName EnsemblGeneID h2.SkinSunExposedLowerleg se.SkinSunExposedLowerleg ensid
MDGA1 ENSG00000112139.9 0.707231 0.059123 ENSG00000112139
GSTT1 ENSG00000184674.8 0.600756 0.067458 ENSG00000184674
TMEM176B ENSG00000106565.13 0.321102 0.08841 ENSG00000106565
AFAP1 ENSG00000196526.6 0.578295 0.074774 ENSG00000196526
TMEM176A ENSG00000002933.3 0.383757 0.088095 ENSG00000002933
FAM118A ENSG00000100376.7 0.657572 0.062068 ENSG00000100376
PILRA ENSG00000085514.10 0.500799 0.06978 ENSG00000085514
RPS28 ENSG00000233927.4 0.797075 0.041847 ENSG00000233927
RNPEP ENSG00000176393.6 0.227331 0.087002 ENSG00000176393
PLXDC1 ENSG00000161381.9 0.172538 0.074546 ENSG00000161381
PAPSS1 ENSG00000138801.4 0.111444 0.062246 ENSG00000138801
VPS53 ENSG00000141252.15 0.213138 0.069275 ENSG00000141252
ZP3 ENSG00000188372.10 0.543677 0.067828 ENSG00000188372
NFXL1 ENSG00000170448.7 0.107936 0.057013 ENSG00000170448
RPL9 ENSG00000163682.11 0.809493 0.036516 ENSG00000163682
TRMT12 ENSG00000183665.4 0.321269 0.077464 ENSG00000183665
ST20 ENSG00000180953.7 0.596187 0.068681 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.687004 0.055086 ENSG00000142856
ABCA7 ENSG00000064687.8 0.327061 0.090264 ENSG00000064687
ACCS ENSG00000110455.9 0.735895 0.05229 ENSG00000110455
GSTT2 ENSG00000099984.6 0.635432 0.062563 ENSG00000099984
UBE2U ENSG00000177414.8 0.195361 0.072316 ENSG00000177414
GSTT2B ENSG00000133433.6 0.646902 0.061361 ENSG00000133433
MCOLN2 ENSG00000153898.8 0.237888 0.075263 ENSG00000153898
SPATA20 ENSG00000006282.15 0.742133 0.054938 ENSG00000006282
OPRL1 ENSG00000125510.11 0.225437 0.074975 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.201258 0.072027 ENSG00000112053
PTF1A ENSG00000168267.5 0.115762 0.066848 ENSG00000168267
PSD4 ENSG00000125637.10 0.491831 0.078788 ENSG00000125637
DCBLD1 ENSG00000164465.14 0.106528 0.063944 ENSG00000164465
CNTNAP3B ENSG00000154529.10 0.300508 0.141516 ENSG00000154529
RNASET2 ENSG00000026297.11 0.301132 0.073989 ENSG00000026297
CARKD ENSG00000213995.7 0.123768 0.077338 ENSG00000213995
RDH13 ENSG00000160439.10 0.238237 0.081474 ENSG00000160439
AGAP7 ENSG00000204169.6 0.633129 0.070254 ENSG00000204169
APOBEC3G ENSG00000239713.3 0.266762 0.077631 ENSG00000239713
GSTM4 ENSG00000168765.11 0.488825 0.081072 ENSG00000168765
HOXB2 ENSG00000173917.9 0.108367 0.060908 ENSG00000173917
LRRC61 ENSG00000127399.10 0.371383 0.072272 ENSG00000127399
LRRC37A ENSG00000176681.10 0.403371 0.087165 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.254441 0.079463 ENSG00000214872
RFWD3 ENSG00000168411.9 0.320172 0.070817 ENSG00000168411
TMEM9 ENSG00000116857.11 0.113936 0.081307 ENSG00000116857
CCDC15 ENSG00000149548.10 0.37033 0.089758 ENSG00000149548
