AssociatedGeneName EnsemblGeneID h2.HeartLeftVentricle se.HeartLeftVentricle ensid
MDGA1 ENSG00000112139.9 0.111834 0.090093 ENSG00000112139
TMEM176B ENSG00000106565.13 0.163144 0.099077 ENSG00000106565
SLC12A1 ENSG00000074803.13 0.09075 0.080889 ENSG00000074803
AFAP1 ENSG00000196526.6 0.135454 0.115218 ENSG00000196526
TMEM176A ENSG00000002933.3 0.141736 0.097193 ENSG00000002933
MFSD9 ENSG00000135953.6 0.060387 0.072137 ENSG00000135953
NIPAL2 ENSG00000104361.5 0.077447 0.076536 ENSG00000104361
CNR1 ENSG00000118432.11 0.142528 0.094777 ENSG00000118432
AOC1 ENSG00000002726.15 0.551381 0.091958 ENSG00000002726
PEX11G ENSG00000104883.3 0.060436 0.097345 ENSG00000104883
FAM118A ENSG00000100376.7 0.245001 0.112933 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.169185 0.107782 ENSG00000106772
LRRC6 ENSG00000129295.4 0.365628 0.097573 ENSG00000129295
PILRA ENSG00000085514.10 0.091736 0.066931 ENSG00000085514
PLXDC1 ENSG00000161381.9 0.090162 0.08551 ENSG00000161381
SORCS2 ENSG00000184985.12 0.090685 0.086999 ENSG00000184985
VPS53 ENSG00000141252.15 0.070971 0.069204 ENSG00000141252
SLC12A7 ENSG00000113504.15 0.090751 0.094534 ENSG00000113504
ZP3 ENSG00000188372.10 0.519579 0.094744 ENSG00000188372
NFXL1 ENSG00000170448.7 0.097085 0.071653 ENSG00000170448
RPL9 ENSG00000163682.11 0.384603 0.104382 ENSG00000163682
TRMT12 ENSG00000183665.4 0.229987 0.105024 ENSG00000183665
ST20 ENSG00000180953.7 0.164881 0.098708 ENSG00000180953
CPA5 ENSG00000158525.11 0.079057 0.07978 ENSG00000158525
ADK ENSG00000156110.9 0.251695 0.097763 ENSG00000156110
UNC5B ENSG00000107731.8 0.072634 0.088438 ENSG00000107731
FABP2 ENSG00000145384.3 0.591592 0.081266 ENSG00000145384
GSTT2 ENSG00000099984.6 0.078612 0.071097 ENSG00000099984
UBE2U ENSG00000177414.8 0.348945 0.108317 ENSG00000177414
A4GALT ENSG00000128274.11 0.079791 0.07846 ENSG00000128274
C8orf31 ENSG00000177335.6 0.076753 0.07754 ENSG00000177335
LEPROT ENSG00000213625.4 0.103924 0.079366 ENSG00000213625
CNTNAP3B ENSG00000154529.10 0.053652 0.058547 ENSG00000154529
CDKN3 ENSG00000100526.15 0.056812 0.063814 ENSG00000100526
CARKD ENSG00000213995.7 0.056218 0.093979 ENSG00000213995
RDH13 ENSG00000160439.10 0.158132 0.12876 ENSG00000160439
NSUN4 ENSG00000117481.5 0.068623 0.060201 ENSG00000117481
GSTM4 ENSG00000168765.11 0.189055 0.097598 ENSG00000168765
KRT23 ENSG00000108244.12 0.088977 0.084105 ENSG00000108244
RFWD3 ENSG00000168411.9 0.126939 0.077321 ENSG00000168411
TFIP11 ENSG00000100109.12 0.074975 0.119257 ENSG00000100109
NT5E ENSG00000135318.7 0.09828 0.083581 ENSG00000135318
ADAD2 ENSG00000140955.6 0.105066 0.107233 ENSG00000140955
CCDC94 ENSG00000105248.11 0.118397 0.100584 ENSG00000105248
KIF16B ENSG00000089177.13 0.077701 0.093162 ENSG00000089177
KIAA1715 ENSG00000144320.9 0.06337 0.078038 ENSG00000144320
PLA2G4C ENSG00000105499.9 0.056681 0.078123 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.157344 0.084527 ENSG00000100197
DHFR ENSG00000228716.2 0.327259 0.095339 ENSG00000228716
NEBL ENSG00000078114.14 0.055312 0.0726 ENSG00000078114
CNGA1 ENSG00000198515.9 0.351959 0.089839 ENSG00000198515
G6PC2 ENSG00000152254.6 0.116386 0.08426 ENSG00000152254
NUPR1 ENSG00000176046.7 0.099011 0.079697 ENSG00000176046
SAMD12 ENSG00000177570.9 0.079207 0.073316 ENSG00000177570
KCNMA1 ENSG00000156113.16 0.062582 0.074518 ENSG00000156113
PRSS46 ENSG00000261603.1 0.255246 0.099204 ENSG00000261603
RRP7A ENSG00000189306.6 0.29679 0.101097 ENSG00000189306
IFITM3 ENSG00000142089.11 0.096115 0.093108 ENSG00000142089
ANKRD34B ENSG00000189127.3 0.133532 0.097433 ENSG00000189127
ORC6 ENSG00000091651.4 0.055169 0.053809 ENSG00000091651
PCYOX1L ENSG00000145882.6 0.104217 0.08937 ENSG00000145882
CDS2 ENSG00000101290.9 0.297888 0.107215 ENSG00000101290
KCNJ4 ENSG00000168135.4 0.055056 0.068725 ENSG00000168135
