AssociatedGeneName EnsemblGeneID h2.Thyroid se.Thyroid ensid
MDGA1 ENSG00000112139.9 0.083237 0.060674 ENSG00000112139
GSTT1 ENSG00000184674.8 0.50492 0.079903 ENSG00000184674
ADARB2 ENSG00000185736.11 0.212786 0.08856 ENSG00000185736
TMEM176B ENSG00000106565.13 0.193583 0.086927 ENSG00000106565
SLC12A1 ENSG00000074803.13 0.050905 0.05414 ENSG00000074803
AFAP1 ENSG00000196526.6 0.057328 0.078466 ENSG00000196526
TMEM176A ENSG00000002933.3 0.189187 0.086807 ENSG00000002933
PEX11G ENSG00000104883.3 0.116665 0.083493 ENSG00000104883
FAM118A ENSG00000100376.7 0.621114 0.075399 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.070557 0.066334 ENSG00000106772
LRRC6 ENSG00000129295.4 0.110842 0.065771 ENSG00000129295
PILRA ENSG00000085514.10 0.393351 0.073733 ENSG00000085514
TREML4 ENSG00000188056.7 0.060619 0.062125 ENSG00000188056
PAM ENSG00000145730.16 0.055001 0.044214 ENSG00000145730
SORCS2 ENSG00000184985.12 0.110658 0.075748 ENSG00000184985
VPS53 ENSG00000141252.15 0.191848 0.078714 ENSG00000141252
ZP3 ENSG00000188372.10 0.150057 0.073628 ENSG00000188372
RPL9 ENSG00000163682.11 0.236687 0.080471 ENSG00000163682
ST20 ENSG00000180953.7 0.062751 0.058309 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.457432 0.078442 ENSG00000142856
ACCS ENSG00000110455.9 0.104938 0.073527 ENSG00000110455
GSTT2 ENSG00000099984.6 0.063378 0.05912 ENSG00000099984
UBE2U ENSG00000177414.8 0.176292 0.074413 ENSG00000177414
NAV1 ENSG00000134369.11 0.066237 0.064284 ENSG00000134369
GSTT2B ENSG00000133433.6 0.069642 0.062723 ENSG00000133433
A4GALT ENSG00000128274.11 0.147308 0.076648 ENSG00000128274
MCOLN2 ENSG00000153898.8 0.210241 0.077793 ENSG00000153898
SPATA20 ENSG00000006282.15 0.401397 0.087296 ENSG00000006282
OPRL1 ENSG00000125510.11 0.058312 0.055889 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.237931 0.080519 ENSG00000112053
C8orf31 ENSG00000177335.6 0.092985 0.069701 ENSG00000177335
LEPROT ENSG00000213625.4 0.053086 0.051392 ENSG00000213625
DCBLD1 ENSG00000164465.14 0.142794 0.06489 ENSG00000164465
CDKN3 ENSG00000100526.15 0.056665 0.054973 ENSG00000100526
CARKD ENSG00000213995.7 0.091547 0.079244 ENSG00000213995
APOBEC3G ENSG00000239713.3 0.132868 0.069447 ENSG00000239713
GSTM4 ENSG00000168765.11 0.069862 0.06498 ENSG00000168765
HOXB2 ENSG00000173917.9 0.065018 0.05423 ENSG00000173917
NUDT7 ENSG00000140876.7 0.071752 0.063824 ENSG00000140876
TFIP11 ENSG00000100109.12 0.087068 0.076486 ENSG00000100109
C10orf128 ENSG00000204161.9 0.059146 0.056098 ENSG00000204161
TMEM9 ENSG00000116857.11 0.082123 0.075145 ENSG00000116857
NT5C3B ENSG00000141698.12 0.451535 0.074314 ENSG00000141698
KNSTRN ENSG00000128944.8 0.052465 0.049147 ENSG00000128944
FCGR2B ENSG00000072694.14 0.072236 0.061854 ENSG00000072694
MYCBPAP ENSG00000136449.9 0.075604 0.070581 ENSG00000136449
CTSW ENSG00000172543.3 0.097235 0.058716 ENSG00000172543
GCAT ENSG00000100116.12 0.129959 0.078049 ENSG00000100116
NT5E ENSG00000135318.7 0.27744 0.077458 ENSG00000135318
CES1 ENSG00000198848.8 0.162863 0.087358 ENSG00000198848
HPR ENSG00000261701.2 0.114635 0.05733 ENSG00000261701
CNTNAP2 ENSG00000174469.13 0.071691 0.062934 ENSG00000174469
EHMT1 ENSG00000181090.13 0.050707 0.04507 ENSG00000181090
GRHPR ENSG00000137106.13 0.121368 0.076771 ENSG00000137106
KIF16B ENSG00000089177.13 0.169706 0.078898 ENSG00000089177
BAMBI ENSG00000095739.7 0.084698 0.072406 ENSG00000095739
QRSL1 ENSG00000130348.7 0.206271 0.076521 ENSG00000130348
PLA2G4C ENSG00000105499.9 0.147357 0.068281 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.238566 0.073876 ENSG00000100197
DHFR ENSG00000228716.2 0.143862 0.072957 ENSG00000228716
SLC1A7 ENSG00000162383.7 0.056537 0.049847 ENSG00000162383
CNGA1 ENSG00000198515.9 0.144028 0.060102 ENSG00000198515
G6PC2 ENSG00000152254.6 0.064444 0.060514 ENSG00000152254
APIP ENSG00000149089.8 0.445115 0.079598 ENSG00000149089
SAMD12 ENSG00000177570.9 0.286214 0.0877 ENSG00000177570
LRRC37A2 ENSG00000238083.3 0.083904 0.055078 ENSG00000238083
ZNF641 ENSG00000167528.8 0.094858 0.053409 ENSG00000167528
PRSS46 ENSG00000261603.1 0.105182 0.058552 ENSG00000261603
ANKRD34B ENSG00000189127.3 0.077319 0.064552 ENSG00000189127
SMIM20 ENSG00000250317.4 0.093059 0.068159 ENSG00000250317
C8B ENSG00000021852.8 0.131143 0.073023 ENSG00000021852
TACSTD2 ENSG00000184292.5 0.195855 0.070566 ENSG00000184292
ZNF266 ENSG00000174652.13 0.185143 0.064535 ENSG00000174652
MCMDC2 ENSG00000178460.13 0.059635 0.066309 ENSG00000178460
WARS ENSG00000140105.13 0.181148 0.080222 ENSG00000140105
APOL4 ENSG00000100336.13 0.219048 0.083852 ENSG00000100336
NTPCR ENSG00000135778.6 0.050661 0.058071 ENSG00000135778
ETV7 ENSG00000010030.9 0.162183 0.078379 ENSG00000010030
PMM2 ENSG00000140650.7 0.076542 0.06409 ENSG00000140650
ATMIN ENSG00000166454.5 0.115418 0.081238 ENSG00000166454
GBP3 ENSG00000117226.7 0.121658 0.064685 ENSG00000117226
CDHR3 ENSG00000128536.11 0.088873 0.064026 ENSG00000128536
C15orf57 ENSG00000128891.11 0.160142 0.066714 ENSG00000128891
IFT88 ENSG00000032742.13 0.067308 0.058408 ENSG00000032742
ARL14EP ENSG00000152219.4 0.12058 0.060201 ENSG00000152219
VNN1 ENSG00000112299.7 0.110214 0.07002 ENSG00000112299
SCO2 ENSG00000130489.8 0.112036 0.065066 ENSG00000130489
SYF2 ENSG00000117614.5 0.099562 0.074555 ENSG00000117614
RAD51C ENSG00000108384.10 0.052622 0.041142 ENSG00000108384
BRD7 ENSG00000166164.11 0.142218 0.077447 ENSG00000166164
C17orf97 ENSG00000187624.7 0.418648 0.086615 ENSG00000187624
ISL2 ENSG00000159556.5 0.103296 0.0636 ENSG00000159556
ADAT1 ENSG00000065457.6 0.100699 0.057029 ENSG00000065457
GCC2 ENSG00000135968.15 0.074032 0.052099 ENSG00000135968
OPN4 ENSG00000122375.7 0.063409 0.057159 ENSG00000122375
PCDHB11 ENSG00000197479.4 0.085163 0.059384 ENSG00000197479
CYP4F11 ENSG00000171903.11 0.371237 0.078994 ENSG00000171903
QDPR ENSG00000151552.7 0.094683 0.062023 ENSG00000151552
TDGF1 ENSG00000241186.3 0.633159 0.065601 ENSG00000241186
NSFL1C ENSG00000088833.12 0.093619 0.074973 ENSG00000088833
MAML3 ENSG00000196782.8 0.069704 0.067707 ENSG00000196782
GSTM1 ENSG00000134184.8 0.256767 0.098944 ENSG00000134184
COG1 ENSG00000166685.7 0.127225 0.071628 ENSG00000166685
TRIM4 ENSG00000146833.11 0.061754 0.049592 ENSG00000146833
IQCB1 ENSG00000173226.12 0.076355 0.050899 ENSG00000173226
PPARGC1A ENSG00000109819.4 0.105888 0.061775 ENSG00000109819
MTHFS ENSG00000136371.5 0.066875 0.05941 ENSG00000136371
VLDLR ENSG00000147852.10 0.254796 0.084812 ENSG00000147852
C15orf38 ENSG00000242498.3 0.103772 0.070199 ENSG00000242498
C10orf107 ENSG00000183346.6 0.124151 0.067396 ENSG00000183346
BCAT1 ENSG00000060982.10 0.123331 0.074741 ENSG00000060982
PCDHB16 ENSG00000196963.2 0.157428 0.066692 ENSG00000196963
CDH23 ENSG00000107736.15 0.055406 0.059286 ENSG00000107736
ZNF586 ENSG00000083828.11 0.188084 0.074872 ENSG00000083828
CCDC74A ENSG00000163040.10 0.125384 0.068465 ENSG00000163040
ANKDD1A ENSG00000166839.12 0.217309 0.081821 ENSG00000166839
COG6 ENSG00000133103.12 0.080841 0.058572 ENSG00000133103
