AssociatedGeneName EnsemblGeneID h2.HeartLeftVentricle se.HeartLeftVentricle ensid
MDGA1 ENSG00000112139.9 0.111834 0.090093 ENSG00000112139
TMEM176B ENSG00000106565.13 0.163144 0.099077 ENSG00000106565
AFAP1 ENSG00000196526.6 0.135454 0.115218 ENSG00000196526
TMEM176A ENSG00000002933.3 0.141736 0.097193 ENSG00000002933
CNR1 ENSG00000118432.11 0.142528 0.094777 ENSG00000118432
AOC1 ENSG00000002726.15 0.551381 0.091958 ENSG00000002726
FAM118A ENSG00000100376.7 0.245001 0.112933 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.169185 0.107782 ENSG00000106772
LRRC6 ENSG00000129295.4 0.365628 0.097573 ENSG00000129295
ZP3 ENSG00000188372.10 0.519579 0.094744 ENSG00000188372
RPL9 ENSG00000163682.11 0.384603 0.104382 ENSG00000163682
TRMT12 ENSG00000183665.4 0.229987 0.105024 ENSG00000183665
ST20 ENSG00000180953.7 0.164881 0.098708 ENSG00000180953
ADK ENSG00000156110.9 0.251695 0.097763 ENSG00000156110
FABP2 ENSG00000145384.3 0.591592 0.081266 ENSG00000145384
UBE2U ENSG00000177414.8 0.348945 0.108317 ENSG00000177414
LEPROT ENSG00000213625.4 0.103924 0.079366 ENSG00000213625
RDH13 ENSG00000160439.10 0.158132 0.12876 ENSG00000160439
GSTM4 ENSG00000168765.11 0.189055 0.097598 ENSG00000168765
RFWD3 ENSG00000168411.9 0.126939 0.077321 ENSG00000168411
ADAD2 ENSG00000140955.6 0.105066 0.107233 ENSG00000140955
CCDC94 ENSG00000105248.11 0.118397 0.100584 ENSG00000105248
CYP2D6 ENSG00000100197.16 0.157344 0.084527 ENSG00000100197
DHFR ENSG00000228716.2 0.327259 0.095339 ENSG00000228716
CNGA1 ENSG00000198515.9 0.351959 0.089839 ENSG00000198515
G6PC2 ENSG00000152254.6 0.116386 0.08426 ENSG00000152254
PRSS46 ENSG00000261603.1 0.255246 0.099204 ENSG00000261603
RRP7A ENSG00000189306.6 0.29679 0.101097 ENSG00000189306
ANKRD34B ENSG00000189127.3 0.133532 0.097433 ENSG00000189127
PCYOX1L ENSG00000145882.6 0.104217 0.08937 ENSG00000145882
CDS2 ENSG00000101290.9 0.297888 0.107215 ENSG00000101290
SMIM20 ENSG00000250317.4 0.22627 0.106687 ENSG00000250317
AL359195.1 ENSG00000204038.3 0.180795 0.088995 ENSG00000204038
PCDHB8 ENSG00000120322.2 0.194029 0.105137 ENSG00000120322
ZNF266 ENSG00000174652.13 0.123803 0.072542 ENSG00000174652
WARS ENSG00000140105.13 0.17661 0.109169 ENSG00000140105
APOL4 ENSG00000100336.13 0.242541 0.106971 ENSG00000100336
PMM2 ENSG00000140650.7 0.125175 0.099585 ENSG00000140650
PILRB ENSG00000121716.13 0.182106 0.084954 ENSG00000121716
C15orf57 ENSG00000128891.11 0.33403 0.104196 ENSG00000128891
IFT88 ENSG00000032742.13 0.214662 0.097764 ENSG00000032742
FAM181A ENSG00000140067.6 0.209884 0.10843 ENSG00000140067
CISD1 ENSG00000122873.7 0.131122 0.080285 ENSG00000122873
RAD51C ENSG00000108384.10 0.125859 0.082668 ENSG00000108384
CAMK1D ENSG00000183049.8 0.311755 0.130594 ENSG00000183049
NME4 ENSG00000103202.8 0.508117 0.123332 ENSG00000103202
OPN4 ENSG00000122375.7 0.138962 0.088461 ENSG00000122375
CYP4F11 ENSG00000171903.11 0.168254 0.093233 ENSG00000171903
TDGF1 ENSG00000241186.3 0.31066 0.120638 ENSG00000241186
RSPO4 ENSG00000101282.4 0.26435 0.131761 ENSG00000101282
GSTM1 ENSG00000134184.8 0.337445 0.123132 ENSG00000134184
COG1 ENSG00000166685.7 0.11375 0.103233 ENSG00000166685
SLC5A4 ENSG00000100191.4 0.129762 0.091343 ENSG00000100191
IQCB1 ENSG00000173226.12 0.13957 0.093823 ENSG00000173226
COG5 ENSG00000164597.9 0.179141 0.087794 ENSG00000164597
USP37 ENSG00000135913.6 0.11546 0.095169 ENSG00000135913
TDRD6 ENSG00000180113.11 0.127214 0.082532 ENSG00000180113
CCDC74A ENSG00000163040.10 0.105927 0.078026 ENSG00000163040
COG6 ENSG00000133103.12 0.143153 0.086497 ENSG00000133103
SLC22A5 ENSG00000197375.8 0.120934 0.080788 ENSG00000197375
NIPAL1 ENSG00000163293.7 0.266866 0.099844 ENSG00000163293
F11R ENSG00000270149.1 0.131681 0.1104 ENSG00000270149
SLC35D1 ENSG00000116704.6 0.114169 0.084028 ENSG00000116704
