AssociatedGeneName EnsemblGeneID h2.AdiposeSubcutaneous se.AdiposeSubcutaneous ensid
MDGA1 ENSG00000112139.9 0.459603 0.090503 ENSG00000112139
GSTT1 ENSG00000184674.8 0.586638 0.067906 ENSG00000184674
TMEM176B ENSG00000106565.13 0.254581 0.08763 ENSG00000106565
TMEM176A ENSG00000002933.3 0.186569 0.08276 ENSG00000002933
NIPAL2 ENSG00000104361.5 0.130058 0.074974 ENSG00000104361
PEX11G ENSG00000104883.3 0.189033 0.079698 ENSG00000104883
FAM118A ENSG00000100376.7 0.697888 0.057832 ENSG00000100376
PILRA ENSG00000085514.10 0.434274 0.075704 ENSG00000085514
RPS28 ENSG00000233927.4 0.852259 0.035428 ENSG00000233927
TREML4 ENSG00000188056.7 0.170852 0.070428 ENSG00000188056
RNPEP ENSG00000176393.6 0.454979 0.087815 ENSG00000176393
SORCS2 ENSG00000184985.12 0.151104 0.094792 ENSG00000184985
VPS53 ENSG00000141252.15 0.280824 0.079859 ENSG00000141252
SLC12A7 ENSG00000113504.15 0.23794 0.092824 ENSG00000113504
ZP3 ENSG00000188372.10 0.698685 0.053067 ENSG00000188372
DUT ENSG00000128951.9 0.105214 0.06779 ENSG00000128951
POLR2J3 ENSG00000168255.13 0.227933 0.082477 ENSG00000168255
RPL9 ENSG00000163682.11 0.803912 0.037541 ENSG00000163682
TRMT12 ENSG00000183665.4 0.210768 0.078953 ENSG00000183665
ST20 ENSG00000180953.7 0.561161 0.074718 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.781169 0.041723 ENSG00000142856
ABCA7 ENSG00000064687.8 0.126912 0.073204 ENSG00000064687
ACCS ENSG00000110455.9 0.653256 0.062192 ENSG00000110455
GSTT2 ENSG00000099984.6 0.601898 0.066684 ENSG00000099984
GSTT2B ENSG00000133433.6 0.332397 0.077475 ENSG00000133433
A4GALT ENSG00000128274.11 0.112781 0.070893 ENSG00000128274
MFN2 ENSG00000116688.12 0.19426 0.0878 ENSG00000116688
MCOLN2 ENSG00000153898.8 0.37886 0.074145 ENSG00000153898
SPATA20 ENSG00000006282.15 0.805121 0.042539 ENSG00000006282
OPRL1 ENSG00000125510.11 0.170665 0.077481 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.427506 0.077054 ENSG00000112053
PSD4 ENSG00000125637.10 0.242359 0.077207 ENSG00000125637
DCBLD1 ENSG00000164465.14 0.184295 0.068349 ENSG00000164465
CNTNAP3B ENSG00000154529.10 0.586862 0.125359 ENSG00000154529
RNASET2 ENSG00000026297.11 0.119182 0.077487 ENSG00000026297
RDH13 ENSG00000160439.10 0.308895 0.082771 ENSG00000160439
AGAP7 ENSG00000204169.6 0.542289 0.081618 ENSG00000204169
NSUN4 ENSG00000117481.5 0.137341 0.06575 ENSG00000117481
APOBEC3G ENSG00000239713.3 0.330754 0.081362 ENSG00000239713
GSTM4 ENSG00000168765.11 0.16931 0.084444 ENSG00000168765
HOXB2 ENSG00000173917.9 0.183163 0.067525 ENSG00000173917
NUDT7 ENSG00000140876.7 0.468408 0.078465 ENSG00000140876
LRRC61 ENSG00000127399.10 0.324429 0.074588 ENSG00000127399
LRRC37A ENSG00000176681.10 0.41286 0.083516 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.430362 0.084792 ENSG00000214872
RFWD3 ENSG00000168411.9 0.24252 0.083469 ENSG00000168411
TMEM9 ENSG00000116857.11 0.314327 0.092565 ENSG00000116857
NT5C3B ENSG00000141698.12 0.566911 0.067459 ENSG00000141698
KNSTRN ENSG00000128944.8 0.497476 0.079273 ENSG00000128944
MYCBPAP ENSG00000136449.9 0.11438 0.071615 ENSG00000136449
CTSW ENSG00000172543.3 0.288641 0.076698 ENSG00000172543
GCAT ENSG00000100116.12 0.130859 0.066668 ENSG00000100116
HPR ENSG00000261701.2 0.335695 0.085281 ENSG00000261701
HAUS4 ENSG00000092036.12 0.49121 0.076443 ENSG00000092036
GRHPR ENSG00000137106.13 0.482605 0.079319 ENSG00000137106
LILRA4 ENSG00000239961.2 0.312685 0.093453 ENSG00000239961
H3F3A ENSG00000163041.5 0.328828 0.077375 ENSG00000163041
QRSL1 ENSG00000130348.7 0.437611 0.076992 ENSG00000130348
PLA2G4C ENSG00000105499.9 0.425474 0.08562 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.463534 0.0766 ENSG00000100197
DHFR ENSG00000228716.2 0.34713 0.075343 ENSG00000228716
SLC1A7 ENSG00000162383.7 0.229471 0.074362 ENSG00000162383
CNGA1 ENSG00000198515.9 0.50914 0.068254 ENSG00000198515
G6PC2 ENSG00000152254.6 0.39484 0.079421 ENSG00000152254
APIP ENSG00000149089.8 0.553845 0.066148 ENSG00000149089
LRRC37A2 ENSG00000238083.3 0.417093 0.079511 ENSG00000238083
TUFM ENSG00000178952.4 0.255884 0.083646 ENSG00000178952
KCNMA1 ENSG00000156113.16 0.222327 0.078099 ENSG00000156113
RRP7A ENSG00000189306.6 0.504345 0.085151 ENSG00000189306
IFITM3 ENSG00000142089.11 0.122966 0.062015 ENSG00000142089
CCDC109B ENSG00000005059.11 0.12872 0.069506 ENSG00000005059
PCYOX1L ENSG00000145882.6 0.169835 0.077105 ENSG00000145882
AL359195.1 ENSG00000204038.3 0.219819 0.070055 ENSG00000204038
PCDHB8 ENSG00000120322.2 0.389524 0.075447 ENSG00000120322
ZNF266 ENSG00000174652.13 0.525355 0.066005 ENSG00000174652
APOL4 ENSG00000100336.13 0.382768 0.084641 ENSG00000100336
NTPCR ENSG00000135778.6 0.495528 0.081413 ENSG00000135778
POLR2J ENSG00000005075.11 0.18189 0.075674 ENSG00000005075
GBP3 ENSG00000117226.7 0.718621 0.051902 ENSG00000117226
PILRB ENSG00000121716.13 0.462022 0.075919 ENSG00000121716
C15orf57 ENSG00000128891.11 0.439121 0.073364 ENSG00000128891
IFT88 ENSG00000032742.13 0.303877 0.077963 ENSG00000032742
GSTM2 ENSG00000213366.8 0.174995 0.085057 ENSG00000213366
CISD1 ENSG00000122873.7 0.176209 0.065596 ENSG00000122873
TMEM50B ENSG00000142188.12 0.458466 0.073789 ENSG00000142188
RAD51C ENSG00000108384.10 0.286067 0.072782 ENSG00000108384
USP53 ENSG00000145390.7 0.187914 0.069441 ENSG00000145390
CAST ENSG00000153113.19 0.50837 0.077725 ENSG00000153113
C17orf97 ENSG00000187624.7 0.64592 0.070322 ENSG00000187624
ARL17B ENSG00000228696.4 0.139947 0.066833 ENSG00000228696
ADAT1 ENSG00000065457.6 0.543248 0.066889 ENSG00000065457
HMGXB3 ENSG00000113716.8 0.110084 0.070568 ENSG00000113716
NME4 ENSG00000103202.8 0.114079 0.066828 ENSG00000103202
GCC2 ENSG00000135968.15 0.460066 0.073273 ENSG00000135968
OPN4 ENSG00000122375.7 0.302821 0.070192 ENSG00000122375
PCDHB11 ENSG00000197479.4 0.325935 0.079782 ENSG00000197479
CYP4F11 ENSG00000171903.11 0.444619 0.079542 ENSG00000171903
QDPR ENSG00000151552.7 0.115706 0.073736 ENSG00000151552
TDGF1 ENSG00000241186.3 0.645934 0.061453 ENSG00000241186
FANCA ENSG00000187741.10 0.252005 0.077198 ENSG00000187741
RSPO4 ENSG00000101282.4 0.364257 0.08345 ENSG00000101282
GSTM1 ENSG00000134184.8 0.37089 0.096978 ENSG00000134184
ZFP28 ENSG00000196867.3 0.191564 0.080373 ENSG00000196867
YIPF5 ENSG00000145817.12 0.198263 0.072792 ENSG00000145817
KIAA2013 ENSG00000116685.11 0.104431 0.064821 ENSG00000116685
TRIM4 ENSG00000146833.11 0.534989 0.070832 ENSG00000146833
SLC5A4 ENSG00000100191.4 0.548216 0.071974 ENSG00000100191
DTD1 ENSG00000125821.7 0.159791 0.076651 ENSG00000125821
GIMAP5 ENSG00000196329.6 0.118263 0.066337 ENSG00000196329
IQCB1 ENSG00000173226.12 0.298058 0.072474 ENSG00000173226
SIRPB1 ENSG00000101307.11 0.508363 0.078393 ENSG00000101307
MTHFS ENSG00000136371.5 0.247869 0.077953 ENSG00000136371
PLVAP ENSG00000130300.4 0.241152 0.085813 ENSG00000130300
C10orf107 ENSG00000183346.6 0.511177 0.072315 ENSG00000183346
ASNSD1 ENSG00000138381.5 0.250095 0.078604 ENSG00000138381
PCDHB16 ENSG00000196963.2 0.398067 0.078773 ENSG00000196963
