type dis tis obsOverlap meanOverlap lCI uCI empPval
Tissue-Wide ALL WholeBlood 366 318.1679 289 347 5e-04
Tissue-Specific T1D WholeBlood 8 3.5559 1 7 0.008
Tissue-Specific CD MuscleSkeletal 20 11.8198 6 19 0.0086
Tissue-Specific HT Lung 3 0.9179 0 3 0.0112
Tissue-Specific CAD MuscleSkeletal 6 2.7539 0 6 0.0182
Tissue-Wide ALL ArteryTibial 512 476.7326 442 512 0.0245
Tissue-Specific ALL Thyroid 278 254.8368 229 282 0.0405
Tissue-Specific BD NerveTibial 3 1.3102 0 4 0.0413
Tissue-Specific CD HeartLeftVentricle 39 30.5712 21 41 0.0474
Tissue-Specific HT NerveTibial 3 1.432 0 4 0.0482
Tissue-Specific ALL MuscleSkeletal 174 156.8398 136 178 0.0505
Tissue-Wide HT NerveTibial 5 2.8251 0 6 0.052
Tissue-Wide CD WholeBlood 31 23.9342 15 33 0.0536
Tissue-Specific ALL WholeBlood 225 206.5587 183 230 0.0585
Tissue-Wide BD Thyroid 4 2.2264 0 5 0.0615
Tissue-Specific ALL HeartLeftVentricle 430 407.0677 374 440 0.0799
Tissue-Specific ALL Lung 217 201.2189 178 225 0.0857
Tissue-Wide ALL Lung 449 426.8637 394 460 0.0907
Tissue-Specific T2D Thyroid 8 5.4615 1.97500000000002 10 0.0916
Tissue-Specific BD SkinSunExposed(Lowerleg) 2 1.1466 0 3 0.0996
Tissue-Specific CAD SkinSunExposed(Lowerleg) 7 4.8468 1 9 0.1057
Tissue-Wide ALL HeartLeftVentricle 571 549.4283 512 586 0.1216
Tissue-Wide ALL MuscleSkeletal 353 335.6978 306 366 0.1222
Tissue-Specific T2D AdiposeSubcutaneous 5 3.4858 0 7 0.1338
Tissue-Specific T1D Lung 5 3.474 0 7 0.1364
Tissue-Wide CAD MuscleSkeletal 8 5.902 2 11 0.1366
Tissue-Specific ALL ArteryTibial 238 225.0767 200 250 0.1483
Tissue-Specific T2D WholeBlood 6 4.4488 1 9 0.1597
Tissue-Specific CAD AdiposeSubcutaneous 4 2.8787 0 6 0.1642
Tissue-Specific ALL AdiposeSubcutaneous 174 164.0674 143 186 0.1666
Tissue-Specific CAD HeartLeftVentricle 9 7.1155 3 13 0.1695
Tissue-Specific RA HeartLeftVentricle 16 13.3619 7 21 0.1786
Tissue-Wide CD MuscleSkeletal 29 25.2321 16 35 0.1814
Tissue-Wide RA HeartLeftVentricle 21 18.0442 11 26 0.1886
Tissue-Wide HT MuscleSkeletal 2 1.5517 0 4 0.1988
Tissue-Specific RA SkinSunExposed(Lowerleg) 11 9.1148 4 15 0.2021
Tissue-Specific BD Lung 1 0.8504 0 3 0.2083
Tissue-Specific RA NerveTibial 12 10.0979 5 16 0.2113
Tissue-Specific CD WholeBlood 18 15.5727 9 23 0.2174
Tissue-Wide ALL NerveTibial 620 605.2292 567 644 0.2187
Tissue-Specific BD WholeBlood 1 0.8693 0 3 0.2195
