type dis tis obsOverlap meanOverlap lCI uCI empPval
Tissue-Specific ALL Lung 129 102.0579 88 116 1e-04
Tissue-Specific T2D Lung 9 2.2268 0 5 2e-04
Tissue-Specific BD Thyroid 17 8.335 3 14 0.0011
Tissue-Specific CD MuscleSkeletal 19 9.5216 4 16 0.0012
Tissue-Specific ALL ArteryTibial 165 140.1807 123 157 0.0014
Tissue-Specific HT Lung 3 0.555 0 2 0.002
Tissue-Specific ALL HeartLeftVentricle 160 136.4991 120 153 0.0022
Tissue-Specific T2D AdiposeSubcutaneous 6 2.0549 0 5 0.0043
Tissue-Specific T1D WholeBlood 7 2.6814 0 6 0.0051
Tissue-Specific HT HeartLeftVentricle 3 0.7398 0 3 0.0062
Tissue-Specific T2D HeartLeftVentricle 7 2.9282 0 7 0.0098
Tissue-Wide BD Thyroid 36 25.0311 16 35 0.0105
Tissue-Specific CAD HeartLeftVentricle 8 3.6428 0 8 0.0115
Tissue-Specific RA Lung 5 2.3053 0 6 0.0281
Tissue-Specific T2D Thyroid 8 4.382 1 9 0.0322
Tissue-Specific RA HeartLeftVentricle 6 3.0655 0 7 0.0326
Tissue-Specific ALL Thyroid 219 202.1933 182 222 0.0469
Tissue-Specific BD ArteryTibial 9 5.7533 2 11 0.0648
Tissue-Specific RA WholeBlood 8 5.1177 1 10 0.0704
Tissue-Specific T2D SkinSunExposed(Lowerleg) 7 4.4345 1 9 0.0774
Tissue-Specific T1D HeartLeftVentricle 3 1.6338 0 4 0.0856
Tissue-Wide ALL WholeBlood 452 432.4559 403 462 0.0891
Tissue-Specific RA SkinSunExposed(Lowerleg) 7 4.6508 1 9 0.0971
Tissue-Specific HT Thyroid 2 1.0978 0 4 0.0997
Tissue-Specific CAD AdiposeSubcutaneous 4 2.4809 0 6 0.1095
Tissue-Wide RA WholeBlood 13 9.8493 4 16 0.1171
Tissue-Specific ALL SkinSunExposed(Lowerleg) 217 205.2646 185 225 0.12
Tissue-Wide T2D HeartLeftVentricle 10 7.3916 3 13 0.1227
Tissue-Wide T2D SkinSunExposed(Lowerleg) 15 11.8523 6 19 0.1388
Tissue-Wide T2D WholeBlood 12 9.3109 4 15 0.139
Tissue-Wide BD SkinSunExposed(Lowerleg) 27 22.5596 14 32 0.1398
Tissue-Specific CAD MuscleSkeletal 7 5.2001 1 10 0.1523
Tissue-Wide BD Lung 21 17.5148 10 26 0.1628
Tissue-Wide HT ArteryTibial 4 2.8972 0 6 0.1647
Tissue-Specific HT ArteryTibial 1 0.7563 0 3 0.1737
Tissue-Specific T2D NerveTibial 5 3.7662 1 8 0.1741
Tissue-Specific CD SkinSunExposed(Lowerleg) 12 9.8621 4 16 0.1843
Tissue-Wide RA NerveTibial 18 15.2604 8 23 0.1896
Tissue-Wide ALL ArteryTibial 550 536.281 504 569 0.194
Tissue-Wide CD WholeBlood 24 20.6967 13 30 0.1947
Tissue-Specific BD AdiposeSubcutaneous 5 3.8951 1 8 0.1965
Tissue-Wide HT Lung 3 2.2985 0 6 0.1971
