type dis tis obsOverlap meanOverlap lCI uCI empPval
Tissue-Specific HT Lung 15 6.7736 3 12 4e-04
Tissue-Wide T2D ArteryTibial 52 35.0141 25 45 4e-04
Tissue-Specific ALL ArteryTibial 1507 1430.8821 1381 1480 9e-04
Tissue-Specific BD NerveTibial 83 65.5988 52 80 0.0053
Tissue-Specific ALL Thyroid 1500 1437.1394 1388 1486.025 0.0056
Tissue-Wide HT ArteryTibial 15 8.7475 4 14 0.0095
Tissue-Specific ALL Lung 1305 1253.5686 1208 1300 0.0152
Tissue-Specific CD ArteryTibial 83 68.569 54 83 0.0234
Tissue-Wide ALL MuscleSkeletal 1333 1288.1866 1240 1336 0.0309
Tissue-Specific CAD AdiposeSubcutaneous 38 29.6633 20 40 0.0405
Tissue-Specific ALL HeartLeftVentricle 1883 1836.4338 1782 1889 0.0408
Tissue-Specific T2D Lung 35 27.0637 18 37 0.041
Tissue-Wide ALL ArteryTibial 1669 1623.2465 1571 1676 0.0429
Tissue-Specific ALL MuscleSkeletal 1115 1078.2474 1035 1123 0.0488
Tissue-Specific HT HeartLeftVentricle 14 9.904 5 16 0.0534
Tissue-Specific HT MuscleSkeletal 9 5.8553 2 11 0.0589
Tissue-Wide HT Thyroid 13 9.2733 4 15 0.0627
Tissue-Specific T2D Thyroid 38 31 22 41 0.0677
Tissue-Wide BD NerveTibial 87 76.3888 62 91 0.0677
Tissue-Specific ALL NerveTibial 1637 1598.1218 1546.975 1650 0.068
Tissue-Specific ALL SkinSunExposed(Lowerleg) 1682 1642.8078 1591 1695 0.0695
Tissue-Specific HT AdiposeSubcutaneous 9 6.1169 2 11 0.0754
Tissue-Specific BD ArteryTibial 68 58.7291 45 72 0.0794
Tissue-Specific T1D ArteryTibial 22 17.3455 10 25 0.0868
Tissue-Specific CAD WholeBlood 42 35.2354 25 46 0.0878
Tissue-Wide RA NerveTibial 49 42.2361 31 53 0.0943
Tissue-Specific BD MuscleSkeletal 52 44.4112 33 57 0.0958
Tissue-Specific CAD NerveTibial 49 42.0602 31 53 0.0985
Tissue-Wide T2D NerveTibial 46 40.0573 30 51 0.1212
Tissue-Wide RA HeartLeftVentricle 46 40.2347 30 51 0.1306
Tissue-Specific T2D ArteryTibial 36 30.9318 22 41 0.133
Tissue-Specific HT ArteryTibial 10 7.7638 3 13 0.1402
Tissue-Wide CAD MuscleSkeletal 39 33.9238 24 45 0.1462
Tissue-Specific ALL AdiposeSubcutaneous 1151 1127.4895 1083 1173 0.1468
Tissue-Wide BD MuscleSkeletal 59 52.963 40 66 0.1619
Tissue-Specific CD SkinSunExposed(Lowerleg) 86 78.7382 64 94 0.1624
Tissue-Wide T2D Thyroid 42 37.2658 27 48 0.1632
Tissue-Wide T1D Thyroid 24 20.7626 13 29 0.1741
Tissue-Wide HT WholeBlood 8 6.3583 2 11 0.1765
Tissue-Wide BD AdiposeSubcutaneous 70 64.1559 50 78 0.1849
Tissue-Wide RA MuscleSkeletal 33 29.3219 20 39 0.1966
Tissue-Specific RA Lung 32 28.4736 19 38 0.1979
Tissue-Specific BD SkinSunExposed(Lowerleg) 73 67.4906 53 82 0.1984
Tissue-Specific BD CrossTissue 101 94.7885 79 111 0.2002
Tissue-Wide BD CrossTissue 101 94.8395 79 111 0.2059
Tissue-Specific T1D HeartLeftVentricle 25 22.1547 14 30 0.2065
Tissue-Wide HT AdiposeSubcutaneous 10 8.4342 4 14 0.2104
Tissue-Wide CD SkinSunExposed(Lowerleg) 83 77.3813 62 93 0.214
Tissue-Wide ALL NerveTibial 1879 1857.5136 1804 1911 0.2148
Tissue-Specific HT NerveTibial 10 8.6217 4 14 0.2339
Tissue-Wide HT SkinSunExposed(Lowerleg) 10 8.7228 4 14 0.2426
Tissue-Wide BD Thyroid 75 70.5577 57 85 0.2433
Tissue-Specific CAD HeartLeftVentricle 52 48.3627 37 60 0.2452
Tissue-Specific CAD Lung 36 32.9903 23 43 0.2499
Tissue-Specific T1D WholeBlood 18 16.1144 9 24 0.2553
Tissue-Specific CAD MuscleSkeletal 31 28.4274 19 38 0.2655
Tissue-Specific HT WholeBlood 8 7.1454 3 12 0.2793
Tissue-Wide HT NerveTibial 11 10.0237 5 16 0.2863
