type dis tis obsOverlap meanOverlap lCI uCI empPval
Tissue-Specific T1D WholeBlood 8 3.36 1 6.52499999999999 0
Tissue-Specific CD MuscleSkeletal 20 11.3 5.475 17 0
Tissue-Wide ALL WholeBlood 366 318.19 292 346.05 0
Tissue-Specific HT Lung 3 0.92 0 3 0.01
Tissue-Specific CAD MuscleSkeletal 6 2.75 0 6 0.02
Tissue-Specific HT NerveTibial 3 1.42 0 3.52499999999999 0.03
Tissue-Specific CD HeartLeftVentricle 39 30.57 22 40.05 0.03
Tissue-Specific ALL MuscleSkeletal 174 156.62 135.95 174.525 0.03
Tissue-Specific ALL WholeBlood 225 205.39 183.475 226.05 0.03
Tissue-Wide ALL ArteryTibial 512 476.82 436.95 512.05 0.03
Tissue-Specific ALL HeartLeftVentricle 430 405.25 376.475 436.675 0.05
Tissue-Specific ALL Thyroid 278 255 223.375 281.1 0.05
Tissue-Wide HT NerveTibial 5 2.64 0 7.04999999999998 0.05
Tissue-Specific BD NerveTibial 3 1.17 0 4 0.06
Tissue-Wide ALL Lung 449 425.37 396.475 458.05 0.07
Tissue-Wide BD Thyroid 4 2.38 0 5 0.08
Tissue-Wide CD WholeBlood 31 24.16 13.475 33 0.08
Tissue-Specific ALL Lung 217 200.02 180.475 225 0.09
Tissue-Specific CAD AdiposeSubcutaneous 4 2.63 0 7 0.1
Tissue-Specific ALL ArteryTibial 238 225.18 202.475 247.575 0.1
Tissue-Specific T2D AdiposeSubcutaneous 5 3.32 1 7.52499999999999 0.11
Tissue-Specific BD SkinSunExposed(Lowerleg) 2 1.27 0 4 0.12
Tissue-Wide CAD MuscleSkeletal 8 6.03 2.475 10.525 0.12
Tissue-Wide ALL HeartLeftVentricle 571 549.61 512.375 584.625 0.12
Tissue-Wide ALL MuscleSkeletal 353 336.74 303.375 367.525 0.12
Tissue-Specific T1D Lung 5 3.43 0.475 7.52499999999999 0.14
Tissue-Specific CD WholeBlood 18 15.53 10 22 0.14
Tissue-Wide RA HeartLeftVentricle 21 17.63 11 25.525 0.14
Tissue-Specific T2D WholeBlood 6 4.3 1.475 8 0.15
Tissue-Specific CAD HeartLeftVentricle 9 7.13 3 13 0.16
Tissue-Specific CAD SkinSunExposed(Lowerleg) 7 5.42 1.475 10.525 0.16
Tissue-Specific RA NerveTibial 12 10.03 6 17 0.16
Tissue-Wide CD MuscleSkeletal 29 25.36 17.475 34 0.16
Tissue-Wide RA WholeBlood 12 9.97 5.475 15.525 0.17
Tissue-Specific ALL AdiposeSubcutaneous 174 164.71 146 186.575 0.18
Tissue-Wide ALL AdiposeSubcutaneous 449 437.56 410.475 472.05 0.18
Tissue-Specific RA HeartLeftVentricle 16 13.07 8 19.525 0.19
Tissue-Specific RA SkinSunExposed(Lowerleg) 11 8.84 4 14 0.19
Tissue-Wide ALL NerveTibial 620 605.73 571.425 643.15 0.19
Tissue-Wide HT MuscleSkeletal 2 1.67 0 4.52499999999999 0.2
Tissue-Specific BD Lung 1 0.87 0 3 0.21
Tissue-Specific T2D Thyroid 8 5.56 1 10 0.21
Tissue-Wide BD NerveTibial 3 2.31 0 5 0.21
Tissue-Specific BD ArteryTibial 1 0.98 0 3 0.24
Tissue-Specific CAD WholeBlood 4 3.52 1 7 0.24
Tissue-Wide HT Thyroid 3 2.51 0 5 0.24
