type dis tis obsOverlap meanOverlap lCI uCI empPval
Tissue-Specific ALL ArteryTibial 3670 3560.635 3498 3625 3e-04
Tissue-Specific HT HeartLeftVentricle 27 19.2386 13 26 0.0052
Tissue-Wide ALL ArteryTibial 2961 2889.8261 2829 2952 0.0108
Tissue-Specific ALL NerveTibial 3642 3569.281 3507 3633 0.014
Tissue-Wide BD NerveTibial 141 124.0499 107 141 0.0229
Tissue-Specific BD MuscleSkeletal 156 138.8364 122 156 0.0233
Tissue-Wide T2D ArteryTibial 74 62.3432 50 75 0.0286
Tissue-Wide HT ArteryTibial 21 15.5968 10 22 0.0301
Tissue-Specific ALL HeartLeftVentricle 3626 3568.2826 3506 3631 0.035
Tissue-Specific ALL Lung 3326 3270.1042 3205.975 3333 0.0379
Tissue-Specific HT NerveTibial 24 19.2605 13 26 0.0501
Tissue-Wide HT Thyroid 21 16.3225 10 23 0.0509
Tissue-Wide BD AdiposeSubcutaneous 130 117.2681 101 134 0.0614
Tissue-Specific ALL Thyroid 3600 3550.8891 3487 3615.025 0.0646
Tissue-Wide T2D Thyroid 74 65.0499 53 78 0.0692
Tissue-Specific ALL AdiposeSubcutaneous 3207 3161.6611 3099 3224 0.074
Tissue-Specific ALL MuscleSkeletal 3419 3374.3486 3311 3438 0.0812
Tissue-Wide CAD MuscleSkeletal 82 72.9027 60 86 0.0822
Tissue-Specific CD AdiposeSubcutaneous 164 151.508 133 170 0.0852
Tissue-Wide CD WholeBlood 130 118.8994 102 136 0.096
Tissue-Specific HT Lung 21 17.6378 11 24 0.1129
Tissue-Wide T2D SkinSunExposed(Lowerleg) 71 64.1743 52 76 0.1219
Tissue-Wide ALL Thyroid 3051 3016.7141 2955 3077.025 0.1346
Tissue-Specific CD Thyroid 180 170.0497 151 189 0.1359
Tissue-Wide ALL NerveTibial 3053 3018.066 2956 3080 0.1363
Tissue-Specific HT WholeBlood 24 20.9894 15 27 0.1403
Tissue-Wide HT WholeBlood 16 13.3702 8 19 0.1482
Tissue-Specific CAD AdiposeSubcutaneous 90 83.3038 70 97 0.1515
Tissue-Wide T1D ArteryTibial 39 34.8596 26 44 0.1551
Tissue-Wide CD Thyroid 153 144.6629 127 163 0.1642
Tissue-Specific T2D Lung 76 70.5989 58 83 0.1764
Tissue-Specific BD ArteryTibial 154 146.2331 129 164 0.1768
Tissue-Specific CAD NerveTibial 100 93.9485 80 108 0.1794
Tissue-Specific T1D HeartLeftVentricle 47 43.0155 34 52 0.1798
Tissue-Specific RA NerveTibial 86 81.2617 68 94 0.217
Tissue-Specific CD NerveTibial 178 171.0465 152 190 0.2193
Tissue-Specific T2D Thyroid 81 76.6667 64 89 0.2276
Tissue-Specific ALL SkinSunExposed(Lowerleg) 3961 3937.9128 3874 4001 0.2319
Tissue-Wide RA MuscleSkeletal 67 62.9419 51 76 0.236
Tissue-Wide RA Lung 70 65.9094 54 79 0.2371
Tissue-Wide BD SkinSunExposed(Lowerleg) 128 122.3522 105 139 0.2375
Tissue-Wide CAD NerveTibial 84 79.5052 66 93 0.2379
Tissue-Specific CD SkinSunExposed(Lowerleg) 195 188.6589 170 207 0.2384
Tissue-Specific T1D AdiposeSubcutaneous 41 38.2799 29 48 0.2422
Tissue-Specific CAD WholeBlood 107 102.5188 88 116 0.2444
Tissue-Wide HT AdiposeSubcutaneous 17 15.361 10 22 0.2446
Tissue-Specific HT ArteryTibial 21 19.2629 13 26 0.2476
Tissue-Specific CAD MuscleSkeletal 93 88.8341 75 103 0.2502
Tissue-Wide RA HeartLeftVentricle 70 66.1518 53 79 0.2514
Tissue-Wide CAD SkinSunExposed(Lowerleg) 82 78.4079 65 92 0.278
Tissue-Wide ALL WholeBlood 2500 2483.6301 2424 2543 0.2856
Tissue-Wide CD MuscleSkeletal 137 132.8282 115 151 0.299
Tissue-Wide HT MuscleSkeletal 16 14.9338 9 21 0.305
Tissue-Wide T2D AdiposeSubcutaneous 64 61.617 49 74 0.3161
