AssociatedGeneName EnsemblGeneID h2.AdiposeSubcutaneous se.AdiposeSubcutaneous ensid
MDGA1 ENSG00000112139.9 0.130838 0.075503 ENSG00000112139
GSTT1 ENSG00000184674.8 0.130499 0.067038 ENSG00000184674
ADARB2 ENSG00000185736.11 0.065554 0.068378 ENSG00000185736
TMTC1 ENSG00000133687.11 0.1055 0.072823 ENSG00000133687
AOC1 ENSG00000002726.15 0.066991 0.060923 ENSG00000002726
FAM118A ENSG00000100376.7 0.062638 0.066228 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.059499 0.066248 ENSG00000106772
PILRA ENSG00000085514.10 0.052794 0.043485 ENSG00000085514
RPS28 ENSG00000233927.4 0.289535 0.087706 ENSG00000233927
RNPEP ENSG00000176393.6 0.050099 0.064609 ENSG00000176393
SORCS2 ENSG00000184985.12 0.068989 0.076374 ENSG00000184985
SLC12A7 ENSG00000113504.15 0.12641 0.080702 ENSG00000113504
RPL9 ENSG00000163682.11 0.246221 0.076334 ENSG00000163682
NDST1 ENSG00000070614.10 0.062268 0.063834 ENSG00000070614
UNC5B ENSG00000107731.8 0.062362 0.062326 ENSG00000107731
GSTT2 ENSG00000099984.6 0.30901 0.077711 ENSG00000099984
GSTT2B ENSG00000133433.6 0.194532 0.068842 ENSG00000133433
MCOLN2 ENSG00000153898.8 0.111901 0.058387 ENSG00000153898
SPATA20 ENSG00000006282.15 0.072236 0.069286 ENSG00000006282
SLC26A8 ENSG00000112053.9 0.194997 0.079475 ENSG00000112053
SLC28A3 ENSG00000197506.6 0.100003 0.057232 ENSG00000197506
DCBLD1 ENSG00000164465.14 0.123761 0.058954 ENSG00000164465
CDKN3 ENSG00000100526.15 0.071711 0.058223 ENSG00000100526
CARKD ENSG00000213995.7 0.134589 0.079253 ENSG00000213995
RDH13 ENSG00000160439.10 0.145559 0.077964 ENSG00000160439
HOXB2 ENSG00000173917.9 0.059656 0.04257 ENSG00000173917
NUDT7 ENSG00000140876.7 0.308714 0.078898 ENSG00000140876
LRRC37A ENSG00000176681.10 0.066859 0.048475 ENSG00000176681
TFIP11 ENSG00000100109.12 0.06106 0.077834 ENSG00000100109
CCDC15 ENSG00000149548.10 0.111174 0.060037 ENSG00000149548
LILRB5 ENSG00000105609.12 0.081526 0.08005 ENSG00000105609
GCAT ENSG00000100116.12 0.139818 0.071087 ENSG00000100116
CCDC94 ENSG00000105248.11 0.052075 0.053683 ENSG00000105248
HAUS4 ENSG00000092036.12 0.200798 0.077828 ENSG00000092036
LILRA4 ENSG00000239961.2 0.125629 0.089357 ENSG00000239961
QRSL1 ENSG00000130348.7 0.081028 0.062827 ENSG00000130348
PLA2G4C ENSG00000105499.9 0.140164 0.07554 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.090386 0.058426 ENSG00000100197
SLC1A7 ENSG00000162383.7 0.215225 0.076893 ENSG00000162383
CNGA1 ENSG00000198515.9 0.345303 0.072235 ENSG00000198515
G6PC2 ENSG00000152254.6 0.117908 0.061949 ENSG00000152254
APIP ENSG00000149089.8 0.093336 0.059072 ENSG00000149089
TUFM ENSG00000178952.4 0.088214 0.055485 ENSG00000178952
KCNMA1 ENSG00000156113.16 0.113695 0.072001 ENSG00000156113
HIF1A ENSG00000100644.12 0.052138 0.054627 ENSG00000100644
