type dis tis obsOverlap meanOverlap lCI uCI empPval
Tissue-Specific ALL Lung 82 56.293 44 69 0
Tissue-Wide ALL WholeBlood 290 239.259 213 265 0
Tissue-Specific HT Lung 2 0.24 0 1 0.001
Tissue-Specific T2D Lung 5 1.167 0 4 0.001
Tissue-Specific CD MuscleSkeletal 17 8.114 3 14 0.001
Tissue-Specific ALL Thyroid 140 111.608 95 130.025 0.002
Tissue-Specific T1D WholeBlood 6 2.051 0 5 0.005
Tissue-Specific CAD HeartLeftVentricle 4 1.365 0 4 0.011
Tissue-Specific CAD MuscleSkeletal 5 1.936 0 5 0.012
Tissue-Specific ALL HeartLeftVentricle 90 75.202 60 89 0.013
Tissue-Specific ALL MuscleSkeletal 128 108.954 92 127 0.013
Tissue-Wide ALL Lung 260 234.773 210.975 259 0.02
Tissue-Specific T1D HeartLeftVentricle 3 1.274 0 4 0.032
Tissue-Specific T2D SkinSunExposed(Lowerleg) 5 2.362 0 6 0.035
Tissue-Specific RA HeartLeftVentricle 5 2.551 0 6 0.037
Tissue-Specific HT HeartLeftVentricle 1 0.337 0 2 0.044
Tissue-Specific RA WholeBlood 7 4.047 1 8 0.047
Tissue-Specific ALL WholeBlood 139 123.622 105 141.025 0.048
Tissue-Specific T2D WholeBlood 5 2.592 0 6 0.054
Tissue-Wide BD Lung 2 0.926 0 3 0.055
Tissue-Wide ALL HeartLeftVentricle 206 188.728 166 213 0.058
Tissue-Wide ALL ArteryTibial 316 295.473 270 323.025 0.07
Tissue-Specific ALL ArteryTibial 88 77.518 62 93 0.071
Tissue-Specific RA SkinSunExposed(Lowerleg) 6 3.675 1 8 0.076
Tissue-Specific T2D MuscleSkeletal 4 2.303 0 6 0.082
Tissue-Specific BD Thyroid 1 0.49 0 2 0.084
Tissue-Specific HT Thyroid 1 0.492 0 2 0.088
Tissue-Specific RA NerveTibial 5 3.117 0 7 0.09
Tissue-Wide HT Lung 2 1.108 0 3 0.092
Tissue-Wide HT NerveTibial 3 1.735 0 5 0.094
Tissue-Wide CD WholeBlood 23 17.937 10 26 0.097
Tissue-Specific T2D AdiposeSubcutaneous 2 1.116 0 4 0.107
Tissue-Specific RA Lung 3 1.835 0 5 0.108
Tissue-Wide CAD MuscleSkeletal 7 4.739 1 9 0.109
Tissue-Wide ALL MuscleSkeletal 284 267.942 241 297 0.11
Tissue-Wide ALL NerveTibial 388 369.601 340 400 0.12
Tissue-Specific CD ArteryTibial 8 5.769 2 11 0.124
Tissue-Specific RA Thyroid 5 3.62 0 8 0.14
Tissue-Wide ALL Thyroid 350 334.658 305 365.025 0.153
Tissue-Wide RA WholeBlood 10 7.845 3 14 0.159
Tissue-Specific CD WholeBlood 12 9.391 4 16 0.162
Tissue-Wide BD HeartLeftVentricle 1 0.756 0 3 0.162
Tissue-Wide BD Thyroid 2 1.402 0 4 0.171
Tissue-Specific BD AdiposeSubcutaneous 0 0.205 0 1 0.189
Tissue-Specific ALL NerveTibial 102 95.412 79 112 0.201
Tissue-Specific CD HeartLeftVentricle 7 5.595 1 11 0.202
Tissue-Specific HT AdiposeSubcutaneous 0 0.232 0 1 0.208
Tissue-Specific BD Lung 0 0.239 0 2 0.21
Tissue-Specific T2D Thyroid 3 2.402 0 6 0.21
Tissue-Wide HT Thyroid 2 1.592 0 4 0.214
Tissue-Specific T2D HeartLeftVentricle 2 1.609 0 4 0.217
Tissue-Specific CD SkinSunExposed(Lowerleg) 10 8.45 4 14 0.22
Tissue-Specific CAD NerveTibial 2 1.647 0 4 0.228
Tissue-Wide T2D WholeBlood 6 5.06 1 10 0.233
Tissue-Specific T1D AdiposeSubcutaneous 1 0.949 0 3 0.234
Tissue-Wide T2D Lung 6 4.977 1 10 0.237
Tissue-Specific RA AdiposeSubcutaneous 2 1.732 0 5 0.244
Tissue-Specific BD HeartLeftVentricle 0 0.295 0 2 0.255
Tissue-Specific CAD AdiposeSubcutaneous 1 0.975 0 3 0.258
Tissue-Wide CD Lung 20 17.721 10 26 0.261
Tissue-Wide ALL AdiposeSubcutaneous 293 284.57 258 310.025 0.266
Tissue-Specific T1D Lung 1 0.997 0 3 0.27
Tissue-Wide CD MuscleSkeletal 22 19.991 12 29 0.271
Tissue-Wide T2D ArteryTibial 7 6.295 2 11 0.305
Tissue-Specific BD ArteryTibial 0 0.357 0 2 0.308
Tissue-Specific CD Thyroid 9 8.322 3 14 0.313
Tissue-Wide T2D MuscleSkeletal 6 5.638 2 11 0.316
Tissue-Specific HT ArteryTibial 0 0.389 0 2 0.322
Tissue-Wide T2D SkinSunExposed(Lowerleg) 7 6.422 2 12 0.325
Tissue-Wide RA AdiposeSubcutaneous 10 9.234 4 15 0.326
Tissue-Specific BD NerveTibial 0 0.398 0 2 0.331
Tissue-Specific CAD SkinSunExposed(Lowerleg) 2 2.014 0 5 0.337
Tissue-Specific HT NerveTibial 0 0.439 0 2 0.354
Tissue-Wide BD ArteryTibial 1 1.259 0 4 0.358
Tissue-Wide HT MuscleSkeletal 1 1.252 0 4 0.364
Tissue-Specific BD SkinSunExposed(Lowerleg) 0 0.44 0 2 0.37
Tissue-Specific CAD WholeBlood 2 2.249 0 6 0.37
Tissue-Specific BD MuscleSkeletal 0 0.492 0 2 0.38
Tissue-Specific BD WholeBlood 0 0.456 0 2 0.382
Tissue-Specific T1D ArteryTibial 1 1.315 0 4 0.385
