type dis tis obsOverlap meanOverlap lCI uCI empPval
Tissue-Specific HT Lung 7 3.2244 0 7 0.0089
Tissue-Wide BD AdiposeSubcutaneous 7 3.6278 1 7 0.0178
Tissue-Wide ALL MuscleSkeletal 754 709.8752 669 751 0.0183
Tissue-Specific BD NerveTibial 7 3.706 1 7 0.02
Tissue-Wide ALL WholeBlood 692 652.2293 613 692 0.024
Tissue-Wide ALL NerveTibial 1070 1023.2204 975 1071.025 0.0274
Tissue-Wide ALL ArteryTibial 938 894.799 850 940 0.0284
Tissue-Specific T2D Lung 20 14.8128 8 22 0.0559
Tissue-Wide ALL Thyroid 984 947.6142 904 993 0.0567
Tissue-Specific ALL Thyroid 826 792.2935 749 836 0.0581
Tissue-Specific HT AdiposeSubcutaneous 5 2.8948 0 6 0.0613
Tissue-Specific BD SkinSunExposed(Lowerleg) 6 3.776 1 7 0.0632
Tissue-Specific CAD AdiposeSubcutaneous 15 10.8874 5 17 0.0711
Tissue-Specific BD WholeBlood 5 3.0924 0 6 0.0716
Tissue-Specific CD ArteryTibial 69 59.306 46 73 0.0738
Tissue-Wide BD Thyroid 6 3.9805 1 8 0.08
Tissue-Specific CAD WholeBlood 17 12.8854 7 20 0.082
Tissue-Specific ALL MuscleSkeletal 621 594.532 556 633 0.0852
Tissue-Wide T2D ArteryTibial 24 19.1016 12 27 0.0865
Tissue-Specific BD Thyroid 5 3.3069 0 7 0.0976
Tissue-Wide HT MuscleSkeletal 5 3.2999 0 7 0.0989
Tissue-Specific HT NerveTibial 6 4.1337 1 8 0.1031
Tissue-Wide HT ArteryTibial 6 4.1998 1 8 0.1069
Tissue-Wide CAD MuscleSkeletal 16 12.4607 7 19 0.1118
Tissue-Wide BD NerveTibial 6 4.2721 1 8 0.1137
Tissue-Wide T2D MuscleSkeletal 19 15.2613 9 23 0.1201
Tissue-Specific ALL ArteryTibial 813 788.2832 745 831 0.1229
Tissue-Specific CAD NerveTibial 19 15.4331 9 22 0.1276
Tissue-Wide ALL AdiposeSubcutaneous 885 859.5707 816 905 0.1291
Tissue-Specific HT MuscleSkeletal 4 2.7656 0 6 0.1345
Tissue-Specific CAD HeartLeftVentricle 21 17.6511 11 25 0.1445
Tissue-Specific CAD MuscleSkeletal 13 10.3638 5 17 0.1485
Tissue-Wide ALL Lung 876 854.6374 811 900 0.1666
Tissue-Wide RA HeartLeftVentricle 36 32.0402 22 42 0.1855
Tissue-Wide HT NerveTibial 6 4.788 1 9 0.1871
Tissue-Specific ALL HeartLeftVentricle 1033 1012.1677 964 1060 0.1945
Tissue-Wide HT AdiposeSubcutaneous 5 4.0135 1 8 0.2023
Tissue-Specific BD ArteryTibial 4 3.3041 0 7 0.2225
Tissue-Specific BD HeartLeftVentricle 5 4.2238 1 8 0.2313
Tissue-Wide CAD AdiposeSubcutaneous 17 15.102 9 22 0.2333
Tissue-Specific HT WholeBlood 4 3.4102 1 7 0.2449
Tissue-Specific T2D AdiposeSubcutaneous 15 13.3607 7 20 0.2561
Tissue-Specific CD SkinSunExposed(Lowerleg) 72 68.0181 54 83 0.2593
Tissue-Wide CD SkinSunExposed(Lowerleg) 71 67.0395 53 81 0.2637
Tissue-Specific ALL Lung 703 690.4481 649.975 731 0.2684
Tissue-Wide T2D Lung 20 18.2997 11 26 0.2749
Tissue-Specific T1D HeartLeftVentricle 19 17.4257 11 25 0.2754
Tissue-Specific T1D WholeBlood 14 12.706 7 19 0.2784
Tissue-Specific T1D ArteryTibial 15 13.6294 7 20 0.2804
Tissue-Wide T2D AdiposeSubcutaneous 20 18.4397 11 26 0.2877
Tissue-Wide CD WholeBlood 52 49.0913 37 62 0.2887
Tissue-Specific T1D Lung 13 11.8688 6 18 0.2912
Tissue-Specific HT ArteryTibial 4 3.6873 1 7 0.3015
Tissue-Specific T2D WholeBlood 17 15.7777 9 23 0.3047
Tissue-Specific CD HeartLeftVentricle 79 76.0685 61 91 0.3159
Tissue-Specific ALL WholeBlood 746 736.1938 695 778 0.3163
Tissue-Wide CD MuscleSkeletal 56 53.4702 41 67 0.322
Tissue-Specific CD AdiposeSubcutaneous 49 46.7942 35 59 0.3267
Tissue-Wide CD HeartLeftVentricle 76 73.3526 59 88 0.3305
Tissue-Wide T2D NerveTibial 23 21.9152 14 30 0.3385
Tissue-Specific RA Lung 24 22.7764 14 32 0.34
Tissue-Wide HT WholeBlood 3 3.0395 0 6 0.3588
Tissue-Specific ALL SkinSunExposed(Lowerleg) 913 905.393 859.975 950 0.3625
Tissue-Specific T2D CrossTissue 28 27.2174 19 36 0.381
Tissue-Wide T2D CrossTissue 28 27.3114 19 36 0.3857
Tissue-Specific ALL NerveTibial 887 881.0219 836 926 0.3871
Tissue-Wide CAD SkinSunExposed(Lowerleg) 16 15.5957 9 23 0.3893
Tissue-Wide T1D Lung 15 14.7763 8 22 0.4015
Tissue-Wide HT SkinSunExposed(Lowerleg) 4 4.1463 1 8 0.4032
Tissue-Specific CAD SkinSunExposed(Lowerleg) 16 15.8458 9 23 0.4122
Tissue-Specific HT SkinSunExposed(Lowerleg) 4 4.2095 1 8 0.4156
