AssociatedGeneName EnsemblGeneID h2.AdiposeSubcutaneous se.AdiposeSubcutaneous ensid
MDGA1 ENSG00000112139.9 0.130838 0.075503 ENSG00000112139
GSTT1 ENSG00000184674.8 0.130499 0.067038 ENSG00000184674
TMTC1 ENSG00000133687.11 0.1055 0.072823 ENSG00000133687
RPS28 ENSG00000233927.4 0.289535 0.087706 ENSG00000233927
SLC12A7 ENSG00000113504.15 0.12641 0.080702 ENSG00000113504
RPL9 ENSG00000163682.11 0.246221 0.076334 ENSG00000163682
GSTT2 ENSG00000099984.6 0.30901 0.077711 ENSG00000099984
GSTT2B ENSG00000133433.6 0.194532 0.068842 ENSG00000133433
MCOLN2 ENSG00000153898.8 0.111901 0.058387 ENSG00000153898
SLC26A8 ENSG00000112053.9 0.194997 0.079475 ENSG00000112053
SLC28A3 ENSG00000197506.6 0.100003 0.057232 ENSG00000197506
DCBLD1 ENSG00000164465.14 0.123761 0.058954 ENSG00000164465
CARKD ENSG00000213995.7 0.134589 0.079253 ENSG00000213995
RDH13 ENSG00000160439.10 0.145559 0.077964 ENSG00000160439
NUDT7 ENSG00000140876.7 0.308714 0.078898 ENSG00000140876
CCDC15 ENSG00000149548.10 0.111174 0.060037 ENSG00000149548
GCAT ENSG00000100116.12 0.139818 0.071087 ENSG00000100116
HAUS4 ENSG00000092036.12 0.200798 0.077828 ENSG00000092036
LILRA4 ENSG00000239961.2 0.125629 0.089357 ENSG00000239961
PLA2G4C ENSG00000105499.9 0.140164 0.07554 ENSG00000105499
SLC1A7 ENSG00000162383.7 0.215225 0.076893 ENSG00000162383
CNGA1 ENSG00000198515.9 0.345303 0.072235 ENSG00000198515
G6PC2 ENSG00000152254.6 0.117908 0.061949 ENSG00000152254
KCNMA1 ENSG00000156113.16 0.113695 0.072001 ENSG00000156113
APOL4 ENSG00000100336.13 0.155152 0.077082 ENSG00000100336
NTPCR ENSG00000135778.6 0.110447 0.071454 ENSG00000135778
POLR2J ENSG00000005075.11 0.111041 0.065726 ENSG00000005075
GBP3 ENSG00000117226.7 0.105854 0.062651 ENSG00000117226
TMEM50B ENSG00000142188.12 0.11363 0.063914 ENSG00000142188
RAD51C ENSG00000108384.10 0.178816 0.060212 ENSG00000108384
CAST ENSG00000153113.19 0.164493 0.070337 ENSG00000153113
GLIS3 ENSG00000107249.17 0.181647 0.090202 ENSG00000107249
GCC2 ENSG00000135968.15 0.152025 0.058626 ENSG00000135968
OPN4 ENSG00000122375.7 0.107018 0.054074 ENSG00000122375
CYP4F11 ENSG00000171903.11 0.104675 0.066196 ENSG00000171903
GSTM1 ENSG00000134184.8 0.119462 0.066807 ENSG00000134184
TRIM4 ENSG00000146833.11 0.175537 0.068762 ENSG00000146833
SLC5A4 ENSG00000100191.4 0.154184 0.073997 ENSG00000100191
SIRPB1 ENSG00000101307.11 0.18364 0.085693 ENSG00000101307
PCDHB16 ENSG00000196963.2 0.258966 0.079163 ENSG00000196963
NIPAL1 ENSG00000163293.7 0.131168 0.063953 ENSG00000163293
CYP4F12 ENSG00000186204.9 0.10007 0.056491 ENSG00000186204
STEAP1B ENSG00000105889.10 0.134003 0.069203 ENSG00000105889
GSDMA ENSG00000167914.6 0.372849 0.074455 ENSG00000167914
SRD5A3 ENSG00000128039.6 0.132132 0.062881 ENSG00000128039
