type dis tis obsOverlap meanOverlap lCI uCI empPval
Tissue-Wide ALL WholeBlood 1443 1368.5416 1317 1421 0.0032
Tissue-Wide BD NerveTibial 12 6.9685 3 11 0.0033
Tissue-Wide ALL ArteryTibial 1658 1592.526 1540 1646 0.0077
Tissue-Wide BD Thyroid 11 6.9748 3 11 0.0139
Tissue-Specific ALL NerveTibial 2028 1966.7564 1912 2022 0.0142
Tissue-Wide ALL MuscleSkeletal 1582 1525.7863 1473 1579 0.0178
Tissue-Specific BD SkinSunExposed(Lowerleg) 13 9.1227 5 13 0.0179
Tissue-Specific T2D Lung 48 38.7017 30 48 0.0189
Tissue-Specific BD ArteryTibial 12 8.2039 4 12 0.0194
Tissue-Wide ALL NerveTibial 1715 1662.6956 1609 1716 0.0252
Tissue-Specific HT NerveTibial 13 9.1965 5 14 0.0256
Tissue-Wide ALL Thyroid 1715 1662.3288 1608 1716 0.0265
Tissue-Wide BD WholeBlood 9 5.7428 2 10 0.0303
Tissue-Wide CAD MuscleSkeletal 34 26.6712 19 35 0.0306
Tissue-Wide BD AdiposeSubcutaneous 10 6.6147 3 11 0.0322
Tissue-Specific CD AdiposeSubcutaneous 145 131.2328 114 149 0.0524
Tissue-Specific ALL Thyroid 2000 1956.6711 1902 2013 0.062
Tissue-Wide T2D AdiposeSubcutaneous 40 33.7749 25 43 0.068
Tissue-Specific ALL AdiposeSubcutaneous 1780 1741.8881 1687 1796 0.0818
Tissue-Wide BD ArteryTibial 9 6.7149 3 11 0.0869
Tissue-Specific ALL MuscleSkeletal 1897 1859.3686 1804 1916 0.0907
Tissue-Wide CD WholeBlood 113 102.9079 87 119 0.0997
Tissue-Specific ALL ArteryTibial 1998 1962.077 1906 2018 0.1031
Tissue-Specific ALL Lung 1832 1802.0124 1747 1858 0.1344
Tissue-Wide ALL AdiposeSubcutaneous 1603 1573.2983 1520 1627 0.1354
Tissue-Specific HT AdiposeSubcutaneous 10 8.1198 4 12 0.138
Tissue-Specific HT Thyroid 11 9.1183 5 13 0.1446
Tissue-Specific RA AdiposeSubcutaneous 63 57.3329 46 69 0.1448
Tissue-Wide T2D MuscleSkeletal 37 32.7321 24 42 0.1462
Tissue-Wide CAD NerveTibial 33 29.0895 21 38 0.1517
