type dis tis obsOverlap meanOverlap lCI uCI empPval
Tissue-Specific HT Lung 15 7.05 2 12 0
Tissue-Specific ALL ArteryTibial 1507 1432.79 1379.375 1480.775 0
Tissue-Wide T2D ArteryTibial 52 34.58 25.475 44.05 0
Tissue-Specific BD NerveTibial 83 65.66 52.95 79.525 0.01
Tissue-Specific ALL Lung 1305 1254.36 1218.475 1301.1 0.01
Tissue-Wide HT ArteryTibial 15 9.01 4 14.525 0.01
Tissue-Specific CD ArteryTibial 83 67.65 55 82.05 0.02
Tissue-Specific ALL Thyroid 1500 1440.09 1391.9 1493.525 0.02
Tissue-Wide ALL ArteryTibial 1669 1619.88 1569.375 1668.525 0.02
Tissue-Specific CAD AdiposeSubcutaneous 38 29.27 18.475 38.525 0.03
Tissue-Specific ALL SkinSunExposed(Lowerleg) 1682 1641.93 1582.75 1684.575 0.04
Tissue-Specific HT MuscleSkeletal 9 5.8 2 10 0.05
Tissue-Specific T2D Lung 35 27.37 18.475 36 0.05
Tissue-Specific ALL NerveTibial 1637 1597.43 1552 1652.775 0.05
Tissue-Wide HT Thyroid 13 9.38 4 14.525 0.05
Tissue-Wide ALL MuscleSkeletal 1333 1289.61 1248.275 1334.525 0.05
Tissue-Specific HT HeartLeftVentricle 14 10.14 5.475 16 0.06
Tissue-Specific ALL HeartLeftVentricle 1883 1838.76 1781.9 1896.05 0.06
Tissue-Specific ALL MuscleSkeletal 1115 1081.01 1039.9 1120.525 0.06
Tissue-Specific T2D Thyroid 38 30.47 22 41 0.07
Tissue-Specific BD ArteryTibial 68 59.08 47.475 73.525 0.08
Tissue-Specific HT AdiposeSubcutaneous 9 6.17 3 10 0.09
Tissue-Wide BD NerveTibial 87 76.61 61.475 93.05 0.09
Tissue-Wide RA HeartLeftVentricle 46 40.02 30.425 49.525 0.1
Tissue-Specific CAD NerveTibial 49 41.9 33 53.525 0.11
Tissue-Specific CAD WholeBlood 42 34.97 22.475 47.1 0.11
Tissue-Wide CAD MuscleSkeletal 39 33.66 24.475 45 0.11
Tissue-Specific T1D ArteryTibial 22 17.39 10.475 26 0.12
Tissue-Specific ALL AdiposeSubcutaneous 1151 1125 1076.425 1164.575 0.12
Tissue-Specific BD MuscleSkeletal 52 45.07 34 57 0.13
Tissue-Wide BD AdiposeSubcutaneous 70 63.08 49.95 79.05 0.13
Tissue-Wide T2D Thyroid 42 37.02 28 46.525 0.13
Tissue-Wide T2D NerveTibial 46 40.41 30.95 49.525 0.14
Tissue-Specific T2D ArteryTibial 36 31.33 21.475 42 0.15
Tissue-Wide HT AdiposeSubcutaneous 10 8.49 3.475 14 0.15
Tissue-Specific BD CrossTissue 101 94.13 76.95 108 0.16
Tissue-Specific HT ArteryTibial 10 7.94 4.475 12 0.18
Tissue-Wide HT WholeBlood 8 6.66 3 11 0.18
Tissue-Wide RA NerveTibial 49 42.56 33 56.525 0.18
Tissue-Wide BD MuscleSkeletal 59 52.51 41.475 68.05 0.19
Tissue-Wide T1D Thyroid 24 21.04 15 30 0.2
Tissue-Wide CD SkinSunExposed(Lowerleg) 83 77.19 66.475 91.525 0.2
Tissue-Specific BD SkinSunExposed(Lowerleg) 73 67.57 52.475 83 0.21
Tissue-Specific CD SkinSunExposed(Lowerleg) 86 78.56 64.475 92.525 0.21
Tissue-Specific RA Lung 32 28.47 19.475 37 0.21
Tissue-Specific CAD Lung 36 32.39 23 40.525 0.22
Tissue-Specific T1D WholeBlood 18 16.15 10 23.525 0.22
Tissue-Specific CAD HeartLeftVentricle 52 48.11 35.95 58.05 0.23
Tissue-Specific HT NerveTibial 10 8.47 3.475 14 0.23
Tissue-Specific T1D HeartLeftVentricle 25 22.38 13.475 30 0.23
Tissue-Wide BD CrossTissue 101 95.55 79.475 111.525 0.23
Tissue-Wide HT NerveTibial 11 9.56 5 15.525 0.24
Tissue-Specific CAD MuscleSkeletal 31 28.37 20 38 0.25
Tissue-Wide ALL Thyroid 1734 1721.07 1669.275 1762.25 0.25
Tissue-Wide RA MuscleSkeletal 33 29.75 21 40.05 0.26
Tissue-Specific T2D AdiposeSubcutaneous 26 23.34 14 32 0.27
Tissue-Wide BD Thyroid 75 71.18 58 85 0.27
Tissue-Wide ALL NerveTibial 1879 1858.65 1799.325 1908 0.28
Tissue-Wide HT SkinSunExposed(Lowerleg) 10 9.16 3.475 15 0.29
Tissue-Specific HT CrossTissue 13 12.37 8 18.05 0.31
Tissue-Specific HT SkinSunExposed(Lowerleg) 9 8.66 4 13.525 0.31
Tissue-Specific T1D Lung 16 15.02 9 23.05 0.31
Tissue-Specific T2D CrossTissue 52 49.38 39 60.525 0.31
Tissue-Specific HT WholeBlood 8 7.28 3 12 0.32
Tissue-Wide BD WholeBlood 51 49.11 37 61.525 0.32
Tissue-Specific T1D SkinSunExposed(Lowerleg) 21 19.76 12.475 27 0.33
Tissue-Wide BD SkinSunExposed(Lowerleg) 69 66.96 53.95 80.525 0.34
Tissue-Wide T1D Lung 19 18.85 13 27 0.34
