AssociatedGeneName EnsemblGeneID h2.WholeBlood se.WholeBlood ensid
PVRL2 ENSG00000130202.5 0.754433 0.043972 ENSG00000130202
JUP ENSG00000173801.12 0.709057 0.050351 ENSG00000173801
MDGA1 ENSG00000112139.9 0.70287 0.058579 ENSG00000112139
GSTT1 ENSG00000184674.8 0.677326 0.057844 ENSG00000184674
ADARB2 ENSG00000185736.11 0.647855 0.06188 ENSG00000185736
TMEM176B ENSG00000106565.13 0.605563 0.060412 ENSG00000106565
SLC12A1 ENSG00000074803.13 0.597262 0.059511 ENSG00000074803
AFAP1 ENSG00000196526.6 0.589106 0.06688 ENSG00000196526
TMTC1 ENSG00000133687.11 0.586632 0.06442 ENSG00000133687
TMEM176A ENSG00000002933.3 0.585141 0.061899 ENSG00000002933
MFSD9 ENSG00000135953.6 0.577165 0.061846 ENSG00000135953
NIPAL2 ENSG00000104361.5 0.573463 0.066693 ENSG00000104361
CNR1 ENSG00000118432.11 0.563303 0.063478 ENSG00000118432
APOBEC3B ENSG00000179750.11 0.530887 0.082142 ENSG00000179750
AOC1 ENSG00000002726.15 0.506376 0.074291 ENSG00000002726
PEX11G ENSG00000104883.3 0.48387 0.079086 ENSG00000104883
FAM118A ENSG00000100376.7 0.478487 0.070852 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.464868 0.069798 ENSG00000106772
LRRC6 ENSG00000129295.4 0.464505 0.074434 ENSG00000129295
PILRA ENSG00000085514.10 0.431669 0.073246 ENSG00000085514
RPS28 ENSG00000233927.4 0.428178 0.075946 ENSG00000233927
TREML4 ENSG00000188056.7 0.408353 0.067546 ENSG00000188056
PAM ENSG00000145730.16 0.40027 0.081193 ENSG00000145730
RNPEP ENSG00000176393.6 0.399553 0.080277 ENSG00000176393
PLXDC1 ENSG00000161381.9 0.396868 0.076657 ENSG00000161381
SORCS2 ENSG00000184985.12 0.394846 0.088552 ENSG00000184985
PAPSS1 ENSG00000138801.4 0.385804 0.074494 ENSG00000138801
VPS53 ENSG00000141252.15 0.381654 0.071957 ENSG00000141252
SLC12A7 ENSG00000113504.15 0.379934 0.084479 ENSG00000113504
KIAA1324 ENSG00000116299.12 0.372229 0.073382 ENSG00000116299
ZP3 ENSG00000188372.10 0.372076 0.071678 ENSG00000188372
